Time and date,II,PLETH
12:12:00.128 07/10/1995,-0.030,0.362
12:12:00.130 07/10/1995,-0.027,0.362
12:12:00.132 07/10/1995,-0.025,0.362
12:12:00.134 07/10/1995,-0.023,0.362
12:12:00.136 07/10/1995,-0.022,0.440
12:12:00.138 07/10/1995,-0.021,0.440
12:12:00.140 07/10/1995,-0.020,0.440
12:12:00.142 07/10/1995,-0.019,0.440
12:12:00.144 07/10/1995,-0.020,0.498
12:12:00.146 07/10/1995,-0.021,0.498
12:12:00.148 07/10/1995,-0.020,0.498
12:12:00.150 07/10/1995,-0.019,0.498
12:12:00.152 07/10/1995,-0.018,0.536
12:12:00.154 07/10/1995,-0.017,0.536
12:12:00.156 07/10/1995,-0.017,0.536
12:12:00.158 07/10/1995,-0.016,0.536
12:12:00.160 07/10/1995,-0.015,0.557
12:12:00.162 07/10/1995,-0.014,0.557
12:12:00.164 07/10/1995,-0.013,0.557
12:12:00.166 07/10/1995,-0.013,0.557
12:12:00.168 07/10/1995,-0.012,0.562
12:12:00.170 07/10/1995,-0.011,0.562
12:12:00.172 07/10/1995,-0.010,0.562
12:12:00.174 07/10/1995,-0.009,0.562
12:12:00.176 07/10/1995,-0.006,0.557
12:12:00.178 07/10/1995,-0.004,0.557
12:12:00.180 07/10/1995,0.000,0.557
12:12:00.182 07/10/1995,0.004,0.557
12:12:00.184 07/10/1995,0.010,0.539
12:12:00.186 07/10/1995,0.015,0.539
12:12:00.188 07/10/1995,0.021,0.539
12:12:00.190 07/10/1995,0.027,0.539
12:12:00.192 07/10/1995,0.035,0.516
12:12:00.194 07/10/1995,0.043,0.516
12:12:00.196 07/10/1995,0.053,0.516
12:12:00.198 07/10/1995,0.064,0.516
12:12:00.200 07/10/1995,0.075,0.485
12:12:00.202 07/10/1995,0.085,0.485
12:12:00.204 07/10/1995,0.093,0.485
12:12:00.206 07/10/1995,0.102,0.485
12:12:00.208 07/10/1995,0.107,0.455
12:12:00.210 07/10/1995,0.112,0.455
12:12:00.212 07/10/1995,0.117,0.455
12:12:00.214 07/10/1995,0.122,0.455
12:12:00.216 07/10/1995,0.130,0.419
12:12:00.218 07/10/1995,0.137,0.419
12:12:00.220 07/10/1995,0.145,0.419
12:12:00.222 07/10/1995,0.152,0.419
12:12:00.224 07/10/1995,0.157,0.378
12:12:00.226 07/10/1995,0.161,0.378
12:12:00.228 07/10/1995,0.157,0.378
12:12:00.230 07/10/1995,0.153,0.378
12:12:00.232 07/10/1995,0.141,0.340
12:12:00.234 07/10/1995,0.129,0.340
12:12:00.236 07/10/1995,0.112,0.340
12:12:00.238 07/10/1995,0.096,0.340
12:12:00.240 07/10/1995,0.082,0.296
12:12:00.242 07/10/1995,0.068,0.296
12:12:00.244 07/10/1995,0.060,0.296
12:12:00.246 07/10/1995,0.052,0.296
12:12:00.248 07/10/1995,0.050,0.256
12:12:00.250 07/10/1995,0.048,0.256
12:12:00.252 07/10/1995,0.044,0.256
12:12:00.254 07/10/1995,0.041,0.256
12:12:00.256 07/10/1995,0.034,0.214
12:12:00.258 07/10/1995,0.027,0.214
12:12:00.260 07/10/1995,0.017,0.214
12:12:00.262 07/10/1995,0.006,0.214
12:12:00.264 07/10/1995,-0.006,0.169
12:12:00.266 07/10/1995,-0.018,0.169
12:12:00.268 07/10/1995,-0.031,0.169
12:12:00.270 07/10/1995,-0.044,0.169
12:12:00.272 07/10/1995,-0.057,0.122
12:12:00.274 07/10/1995,-0.069,0.122
12:12:00.276 07/10/1995,-0.080,0.122
12:12:00.278 07/10/1995,-0.091,0.122
12:12:00.280 07/10/1995,-0.099,0.076
12:12:00.282 07/10/1995,-0.107,0.076
12:12:00.284 07/10/1995,-0.113,0.076
12:12:00.286 07/10/1995,-0.120,0.076
12:12:00.288 07/10/1995,-0.124,0.025
12:12:00.290 07/10/1995,-0.129,0.025
12:12:00.292 07/10/1995,-0.131,0.025
12:12:00.294 07/10/1995,-0.133,0.025
12:12:00.296 07/10/1995,-0.134,-0.021
12:12:00.298 07/10/1995,-0.135,-0.021
12:12:00.300 07/10/1995,-0.135,-0.021
12:12:00.302 07/10/1995,-0.135,-0.021
12:12:00.304 07/10/1995,-0.135,-0.067
12:12:00.306 07/10/1995,-0.135,-0.067
12:12:00.308 07/10/1995,-0.134,-0.067
12:12:00.310 07/10/1995,-0.134,-0.067
12:12:00.312 07/10/1995,-0.133,-0.113
12:12:00.314 07/10/1995,-0.132,-0.113
12:12:00.316 07/10/1995,-0.131,-0.113
12:12:00.318 07/10/1995,-0.130,-0.113
12:12:00.320 07/10/1995,-0.130,-0.156
12:12:00.322 07/10/1995,-0.131,-0.156
12:12:00.324 07/10/1995,-0.131,-0.156
12:12:00.326 07/10/1995,-0.131,-0.156
12:12:00.328 07/10/1995,-0.131,-0.192
12:12:00.330 07/10/1995,-0.132,-0.192
12:12:00.332 07/10/1995,-0.132,-0.192
12:12:00.334 07/10/1995,-0.133,-0.192
12:12:00.336 07/10/1995,-0.132,-0.225
12:12:00.338 07/10/1995,-0.132,-0.225
12:12:00.340 07/10/1995,-0.131,-0.225
12:12:00.342 07/10/1995,-0.130,-0.225
12:12:00.344 07/10/1995,-0.129,-0.256
12:12:00.346 07/10/1995,-0.127,-0.256
12:12:00.348 07/10/1995,-0.127,-0.256
12:12:00.350 07/10/1995,-0.126,-0.256
12:12:00.352 07/10/1995,-0.126,-0.281
12:12:00.354 07/10/1995,-0.126,-0.281
12:12:00.356 07/10/1995,-0.126,-0.281
12:12:00.358 07/10/1995,-0.126,-0.281
12:12:00.360 07/10/1995,-0.126,-0.301
12:12:00.362 07/10/1995,-0.125,-0.301
12:12:00.364 07/10/1995,-0.124,-0.301
12:12:00.366 07/10/1995,-0.123,-0.301
12:12:00.368 07/10/1995,-0.120,-0.315
12:12:00.370 07/10/1995,-0.117,-0.315
12:12:00.372 07/10/1995,-0.105,-0.315
12:12:00.374 07/10/1995,-0.094,-0.315
12:12:00.376 07/10/1995,-0.067,-0.325
12:12:00.378 07/10/1995,-0.041,-0.325
12:12:00.380 07/10/1995,0.009,-0.325
12:12:00.382 07/10/1995,0.058,-0.325
12:12:00.384 07/10/1995,0.134,-0.335
12:12:00.386 07/10/1995,0.210,-0.335
12:12:00.388 07/10/1995,0.301,-0.335
12:12:00.390 07/10/1995,0.392,-0.335
12:12:00.392 07/10/1995,0.477,-0.340
12:12:00.394 07/10/1995,0.562,-0.340
12:12:00.396 07/10/1995,0.614,-0.340
12:12:00.398 07/10/1995,0.666,-0.340
12:12:00.400 07/10/1995,0.673,-0.343
12:12:00.402 07/10/1995,0.679,-0.343
12:12:00.404 07/10/1995,0.641,-0.343
12:12:00.406 07/10/1995,0.603,-0.343
12:12:00.408 07/10/1995,0.537,-0.347
12:12:00.410 07/10/1995,0.472,-0.347
12:12:00.412 07/10/1995,0.403,-0.347
12:12:00.414 07/10/1995,0.335,-0.347
12:12:00.416 07/10/1995,0.281,-0.350
12:12:00.418 07/10/1995,0.228,-0.350
12:12:00.420 07/10/1995,0.198,-0.350
12:12:00.422 07/10/1995,0.167,-0.350
12:12:00.424 07/10/1995,0.159,-0.352
12:12:00.426 07/10/1995,0.151,-0.352
12:12:00.428 07/10/1995,0.157,-0.352
12:12:00.430 07/10/1995,0.162,-0.352
12:12:00.432 07/10/1995,0.171,-0.355
12:12:00.434 07/10/1995,0.179,-0.355
12:12:00.436 07/10/1995,0.185,-0.355
12:12:00.438 07/10/1995,0.191,-0.355
12:12:00.440 07/10/1995,0.194,-0.363
12:12:00.442 07/10/1995,0.198,-0.363
12:12:00.444 07/10/1995,0.204,-0.363
12:12:00.446 07/10/1995,0.211,-0.363
12:12:00.448 07/10/1995,0.224,-0.368
12:12:00.450 07/10/1995,0.238,-0.368
12:12:00.452 07/10/1995,0.252,-0.368
12:12:00.454 07/10/1995,0.266,-0.368
12:12:00.456 07/10/1995,0.270,-0.376
12:12:00.458 07/10/1995,0.274,-0.376
12:12:00.460 07/10/1995,0.263,-0.376
12:12:00.462 07/10/1995,0.253,-0.376
12:12:00.464 07/10/1995,0.228,-0.383
12:12:00.466 07/10/1995,0.204,-0.383
12:12:00.468 07/10/1995,0.171,-0.383
12:12:00.470 07/10/1995,0.138,-0.383
12:12:00.472 07/10/1995,0.106,-0.394
12:12:00.474 07/10/1995,0.075,-0.394
12:12:00.476 07/10/1995,0.050,-0.394
12:12:00.478 07/10/1995,0.026,-0.394
12:12:00.480 07/10/1995,0.009,-0.399
12:12:00.482 07/10/1995,-0.009,-0.399
12:12:00.484 07/10/1995,-0.021,-0.399
12:12:00.486 07/10/1995,-0.032,-0.399
12:12:00.488 07/10/1995,-0.041,-0.409
12:12:00.490 07/10/1995,-0.050,-0.409
12:12:00.492 07/10/1995,-0.054,-0.409
12:12:00.494 07/10/1995,-0.058,-0.409
12:12:00.496 07/10/1995,-0.059,-0.421
12:12:00.498 07/10/1995,-0.060,-0.421
12:12:00.500 07/10/1995,-0.060,-0.421
12:12:00.502 07/10/1995,-0.060,-0.421
12:12:00.504 07/10/1995,-0.060,-0.432
12:12:00.506 07/10/1995,-0.060,-0.432
12:12:00.508 07/10/1995,-0.062,-0.432
12:12:00.510 07/10/1995,-0.063,-0.432
12:12:00.512 07/10/1995,-0.063,-0.442
12:12:00.514 07/10/1995,-0.064,-0.442
12:12:00.516 07/10/1995,-0.064,-0.442
12:12:00.518 07/10/1995,-0.064,-0.442
12:12:00.520 07/10/1995,-0.064,-0.455
12:12:00.522 07/10/1995,-0.064,-0.455
12:12:00.524 07/10/1995,-0.064,-0.455
12:12:00.526 07/10/1995,-0.065,-0.455
12:12:00.528 07/10/1995,-0.066,-0.463
12:12:00.530 07/10/1995,-0.067,-0.463
12:12:00.532 07/10/1995,-0.067,-0.463
12:12:00.534 07/10/1995,-0.068,-0.463
12:12:00.536 07/10/1995,-0.067,-0.475
12:12:00.538 07/10/1995,-0.067,-0.475
12:12:00.540 07/10/1995,-0.065,-0.475
12:12:00.542 07/10/1995,-0.064,-0.475
12:12:00.544 07/10/1995,-0.062,-0.485
12:12:00.546 07/10/1995,-0.059,-0.485
12:12:00.548 07/10/1995,-0.059,-0.485
12:12:00.550 07/10/1995,-0.059,-0.485
12:12:00.552 07/10/1995,-0.059,-0.500
12:12:00.554 07/10/1995,-0.058,-0.500
12:12:00.556 07/10/1995,-0.057,-0.500
12:12:00.558 07/10/1995,-0.055,-0.500
12:12:00.560 07/10/1995,-0.052,-0.511
12:12:00.562 07/10/1995,-0.050,-0.511
12:12:00.564 07/10/1995,-0.045,-0.511
12:12:00.566 07/10/1995,-0.040,-0.511
12:12:00.568 07/10/1995,-0.034,-0.523
12:12:00.570 07/10/1995,-0.028,-0.523
12:12:00.572 07/10/1995,-0.022,-0.523
12:12:00.574 07/10/1995,-0.016,-0.523
12:12:00.576 07/10/1995,-0.011,-0.536
12:12:00.578 07/10/1995,-0.006,-0.536
12:12:00.580 07/10/1995,-0.003,-0.536
12:12:00.582 07/10/1995,0.001,-0.536
12:12:00.584 07/10/1995,0.005,-0.546
12:12:00.586 07/10/1995,0.009,-0.546
12:12:00.588 07/10/1995,0.011,-0.546
12:12:00.590 07/10/1995,0.013,-0.546
12:12:00.592 07/10/1995,0.015,-0.559
12:12:00.594 07/10/1995,0.017,-0.559
12:12:00.596 07/10/1995,0.021,-0.559
12:12:00.598 07/10/1995,0.025,-0.559
12:12:00.600 07/10/1995,0.029,-0.575
12:12:00.602 07/10/1995,0.033,-0.575
12:12:00.604 07/10/1995,0.037,-0.575
12:12:00.606 07/10/1995,0.041,-0.575
12:12:00.608 07/10/1995,0.044,-0.576
12:12:00.610 07/10/1995,0.048,-0.576
12:12:00.612 07/10/1995,0.049,-0.576
12:12:00.614 07/10/1995,0.051,-0.576
12:12:00.616 07/10/1995,0.051,-0.588
12:12:00.618 07/10/1995,0.052,-0.588
12:12:00.620 07/10/1995,0.051,-0.588
12:12:00.622 07/10/1995,0.051,-0.588
12:12:00.624 07/10/1995,0.050,-0.598
12:12:00.626 07/10/1995,0.050,-0.598
12:12:00.628 07/10/1995,0.049,-0.598
12:12:00.630 07/10/1995,0.048,-0.598
12:12:00.632 07/10/1995,0.046,-0.605
12:12:00.634 07/10/1995,0.044,-0.605
12:12:00.636 07/10/1995,0.041,-0.605
12:12:00.638 07/10/1995,0.038,-0.605
12:12:00.640 07/10/1995,0.031,-0.612
12:12:00.642 07/10/1995,0.024,-0.612
12:12:00.644 07/10/1995,0.015,-0.612
12:12:00.646 07/10/1995,0.006,-0.612
12:12:00.648 07/10/1995,-0.004,-0.610
12:12:00.650 07/10/1995,-0.015,-0.610
12:12:00.652 07/10/1995,-0.026,-0.610
12:12:00.654 07/10/1995,-0.037,-0.610
12:12:00.656 07/10/1995,-0.046,-0.596
12:12:00.658 07/10/1995,-0.055,-0.596
12:12:00.660 07/10/1995,-0.063,-0.596
12:12:00.662 07/10/1995,-0.071,-0.596
12:12:00.664 07/10/1995,-0.079,-0.572
12:12:00.666 07/10/1995,-0.087,-0.572
12:12:00.668 07/10/1995,-0.095,-0.572
12:12:00.670 07/10/1995,-0.103,-0.572
12:12:00.672 07/10/1995,-0.110,-0.538
12:12:00.674 07/10/1995,-0.117,-0.538
12:12:00.676 07/10/1995,-0.124,-0.538
12:12:00.678 07/10/1995,-0.131,-0.538
12:12:00.680 07/10/1995,-0.134,-0.483
12:12:00.682 07/10/1995,-0.138,-0.483
12:12:00.684 07/10/1995,-0.139,-0.483
12:12:00.686 07/10/1995,-0.139,-0.483
12:12:00.688 07/10/1995,-0.138,-0.413
12:12:00.690 07/10/1995,-0.137,-0.413
12:12:00.692 07/10/1995,-0.135,-0.413
12:12:00.694 07/10/1995,-0.133,-0.413
12:12:00.696 07/10/1995,-0.129,-0.330
12:12:00.698 07/10/1995,-0.125,-0.330
12:12:00.700 07/10/1995,-0.121,-0.330
12:12:00.702 07/10/1995,-0.118,-0.330
12:12:00.704 07/10/1995,-0.113,-0.234
12:12:00.706 07/10/1995,-0.109,-0.234
12:12:00.708 07/10/1995,-0.105,-0.234
12:12:00.710 07/10/1995,-0.100,-0.234
12:12:00.712 07/10/1995,-0.094,-0.132
12:12:00.714 07/10/1995,-0.089,-0.132
12:12:00.716 07/10/1995,-0.083,-0.132
12:12:00.718 07/10/1995,-0.078,-0.132
12:12:00.720 07/10/1995,-0.073,-0.026
12:12:00.722 07/10/1995,-0.069,-0.026
12:12:00.724 07/10/1995,-0.066,-0.026
12:12:00.726 07/10/1995,-0.063,-0.026
12:12:00.728 07/10/1995,-0.060,0.071
12:12:00.730 07/10/1995,-0.057,0.071
12:12:00.732 07/10/1995,-0.055,0.071
12:12:00.734 07/10/1995,-0.052,0.071
12:12:00.736 07/10/1995,-0.049,0.165
12:12:00.738 07/10/1995,-0.046,0.165
12:12:00.740 07/10/1995,-0.044,0.165
12:12:00.742 07/10/1995,-0.041,0.165
12:12:00.744 07/10/1995,-0.038,0.241
12:12:00.746 07/10/1995,-0.036,0.241
12:12:00.748 07/10/1995,-0.033,0.241
12:12:00.750 07/10/1995,-0.031,0.241
12:12:00.752 07/10/1995,-0.029,0.301
12:12:00.754 07/10/1995,-0.027,0.301
12:12:00.756 07/10/1995,-0.025,0.301
12:12:00.758 07/10/1995,-0.023,0.301
12:12:00.760 07/10/1995,-0.022,0.346
12:12:00.762 07/10/1995,-0.021,0.346
12:12:00.764 07/10/1995,-0.019,0.346
12:12:00.766 07/10/1995,-0.018,0.346
12:12:00.768 07/10/1995,-0.018,0.370
12:12:00.770 07/10/1995,-0.017,0.370
12:12:00.772 07/10/1995,-0.017,0.370
12:12:00.774 07/10/1995,-0.016,0.370
12:12:00.776 07/10/1995,-0.016,0.383
12:12:00.778 07/10/1995,-0.015,0.383
12:12:00.780 07/10/1995,-0.016,0.383
12:12:00.782 07/10/1995,-0.016,0.383
12:12:00.784 07/10/1995,-0.016,0.376
12:12:00.786 07/10/1995,-0.016,0.376
12:12:00.788 07/10/1995,-0.016,0.376
12:12:00.790 07/10/1995,-0.016,0.376
12:12:00.792 07/10/1995,-0.015,0.361
12:12:00.794 07/10/1995,-0.013,0.361
12:12:00.796 07/10/1995,-0.008,0.361
12:12:00.798 07/10/1995,-0.003,0.361
12:12:00.800 07/10/1995,0.005,0.340
12:12:00.802 07/10/1995,0.013,0.340
12:12:00.804 07/10/1995,0.022,0.340
12:12:00.806 07/10/1995,0.031,0.340
12:12:00.808 07/10/1995,0.042,0.308
12:12:00.810 07/10/1995,0.053,0.308
12:12:00.812 07/10/1995,0.064,0.308
12:12:00.814 07/10/1995,0.075,0.308
12:12:00.816 07/10/1995,0.084,0.275
12:12:00.818 07/10/1995,0.094,0.275
12:12:00.820 07/10/1995,0.101,0.275
12:12:00.822 07/10/1995,0.108,0.275
12:12:00.824 07/10/1995,0.112,0.241
12:12:00.826 07/10/1995,0.117,0.241
12:12:00.828 07/10/1995,0.121,0.241
12:12:00.830 07/10/1995,0.125,0.241
12:12:00.832 07/10/1995,0.131,0.203
12:12:00.834 07/10/1995,0.136,0.203
12:12:00.836 07/10/1995,0.141,0.203
12:12:00.838 07/10/1995,0.147,0.203
12:12:00.840 07/10/1995,0.147,0.170
12:12:00.842 07/10/1995,0.147,0.170
12:12:00.844 07/10/1995,0.140,0.170
12:12:00.846 07/10/1995,0.133,0.170
12:12:00.848 07/10/1995,0.119,0.134
12:12:00.850 07/10/1995,0.105,0.134
12:12:00.852 07/10/1995,0.090,0.134
12:12:00.854 07/10/1995,0.075,0.134
12:12:00.856 07/10/1995,0.064,0.096
12:12:00.858 07/10/1995,0.053,0.096
12:12:00.860 07/10/1995,0.049,0.096
12:12:00.862 07/10/1995,0.044,0.096
12:12:00.864 07/10/1995,0.043,0.062
12:12:00.866 07/10/1995,0.042,0.062
12:12:00.868 07/10/1995,0.040,0.062
12:12:00.870 07/10/1995,0.038,0.062
12:12:00.872 07/10/1995,0.031,0.024
12:12:00.874 07/10/1995,0.025,0.024
12:12:00.876 07/10/1995,0.013,0.024
12:12:00.878 07/10/1995,0.002,0.024
12:12:00.880 07/10/1995,-0.011,-0.012
12:12:00.882 07/10/1995,-0.025,-0.012
12:12:00.884 07/10/1995,-0.038,-0.012
12:12:00.886 07/10/1995,-0.051,-0.012
12:12:00.888 07/10/1995,-0.063,-0.043
12:12:00.890 07/10/1995,-0.076,-0.043
12:12:00.892 07/10/1995,-0.086,-0.043
12:12:00.894 07/10/1995,-0.096,-0.043
12:12:00.896 07/10/1995,-0.103,-0.079
12:12:00.898 07/10/1995,-0.110,-0.079
12:12:00.900 07/10/1995,-0.115,-0.079
12:12:00.902 07/10/1995,-0.120,-0.079
12:12:00.904 07/10/1995,-0.122,-0.113
12:12:00.906 07/10/1995,-0.124,-0.113
12:12:00.908 07/10/1995,-0.126,-0.113
12:12:00.910 07/10/1995,-0.127,-0.113
12:12:00.912 07/10/1995,-0.129,-0.148
12:12:00.914 07/10/1995,-0.131,-0.148
12:12:00.916 07/10/1995,-0.131,-0.148
12:12:00.918 07/10/1995,-0.132,-0.148
12:12:00.920 07/10/1995,-0.132,-0.179
12:12:00.922 07/10/1995,-0.132,-0.179
12:12:00.924 07/10/1995,-0.133,-0.179
12:12:00.926 07/10/1995,-0.135,-0.179
12:12:00.928 07/10/1995,-0.137,-0.213
12:12:00.930 07/10/1995,-0.139,-0.213
12:12:00.932 07/10/1995,-0.141,-0.213
12:12:00.934 07/10/1995,-0.143,-0.213
12:12:00.936 07/10/1995,-0.142,-0.241
12:12:00.938 07/10/1995,-0.141,-0.241
12:12:00.940 07/10/1995,-0.140,-0.241
12:12:00.942 07/10/1995,-0.138,-0.241
12:12:00.944 07/10/1995,-0.136,-0.270
12:12:00.946 07/10/1995,-0.134,-0.270
12:12:00.948 07/10/1995,-0.131,-0.270
12:12:00.950 07/10/1995,-0.129,-0.270
12:12:00.952 07/10/1995,-0.125,-0.291
12:12:00.954 07/10/1995,-0.122,-0.291
12:12:00.956 07/10/1995,-0.120,-0.291
12:12:00.958 07/10/1995,-0.118,-0.291
12:12:00.960 07/10/1995,-0.116,-0.316
12:12:00.962 07/10/1995,-0.114,-0.316
12:12:00.964 07/10/1995,-0.114,-0.316
12:12:00.966 07/10/1995,-0.114,-0.316
12:12:00.968 07/10/1995,-0.114,-0.333
12:12:00.970 07/10/1995,-0.113,-0.333
12:12:00.972 07/10/1995,-0.113,-0.333
12:12:00.974 07/10/1995,-0.112,-0.333
12:12:00.976 07/10/1995,-0.113,-0.349
12:12:00.978 07/10/1995,-0.113,-0.349
12:12:00.980 07/10/1995,-0.113,-0.349
12:12:00.982 07/10/1995,-0.113,-0.349
12:12:00.984 07/10/1995,-0.109,-0.361
12:12:00.986 07/10/1995,-0.105,-0.361
12:12:00.988 07/10/1995,-0.090,-0.361
12:12:00.990 07/10/1995,-0.076,-0.361
12:12:00.992 07/10/1995,-0.042,-0.370
12:12:00.994 07/10/1995,-0.009,-0.370
12:12:00.996 07/10/1995,0.049,-0.370
12:12:00.998 07/10/1995,0.107,-0.370
12:12:01.000 07/10/1995,0.187,-0.378
12:12:01.002 07/10/1995,0.268,-0.378
12:12:01.004 07/10/1995,0.356,-0.378
12:12:01.006 07/10/1995,0.444,-0.378
12:12:01.008 07/10/1995,0.516,-0.383
12:12:01.010 07/10/1995,0.587,-0.383
12:12:01.012 07/10/1995,0.621,-0.383
12:12:01.014 07/10/1995,0.654,-0.383
12:12:01.016 07/10/1995,0.643,-0.390
12:12:01.018 07/10/1995,0.632,-0.390
12:12:01.020 07/10/1995,0.583,-0.390
12:12:01.022 07/10/1995,0.535,-0.390
12:12:01.024 07/10/1995,0.469,-0.392
12:12:01.026 07/10/1995,0.403,-0.392
12:12:01.028 07/10/1995,0.343,-0.392
12:12:01.030 07/10/1995,0.283,-0.392
12:12:01.032 07/10/1995,0.242,-0.399
12:12:01.034 07/10/1995,0.202,-0.399
12:12:01.036 07/10/1995,0.185,-0.399
12:12:01.038 07/10/1995,0.167,-0.399
12:12:01.040 07/10/1995,0.168,-0.402
12:12:01.042 07/10/1995,0.168,-0.402
12:12:01.044 07/10/1995,0.176,-0.402
12:12:01.046 07/10/1995,0.184,-0.402
12:12:01.048 07/10/1995,0.191,-0.404
12:12:01.050 07/10/1995,0.198,-0.404
12:12:01.052 07/10/1995,0.201,-0.404
12:12:01.054 07/10/1995,0.204,-0.404
12:12:01.056 07/10/1995,0.208,-0.409
12:12:01.058 07/10/1995,0.212,-0.409
12:12:01.060 07/10/1995,0.219,-0.409
12:12:01.062 07/10/1995,0.226,-0.409
12:12:01.064 07/10/1995,0.237,-0.413
12:12:01.066 07/10/1995,0.248,-0.413
12:12:01.068 07/10/1995,0.258,-0.413
12:12:01.070 07/10/1995,0.268,-0.413
12:12:01.072 07/10/1995,0.267,-0.420
12:12:01.074 07/10/1995,0.267,-0.420
12:12:01.076 07/10/1995,0.252,-0.420
12:12:01.078 07/10/1995,0.237,-0.420
12:12:01.080 07/10/1995,0.209,-0.425
12:12:01.082 07/10/1995,0.181,-0.425
12:12:01.084 07/10/1995,0.150,-0.425
12:12:01.086 07/10/1995,0.118,-0.425
12:12:01.088 07/10/1995,0.089,-0.435
12:12:01.090 07/10/1995,0.060,-0.435
12:12:01.092 07/10/1995,0.038,-0.435
12:12:01.094 07/10/1995,0.015,-0.435
12:12:01.096 07/10/1995,0.000,-0.443
12:12:01.098 07/10/1995,-0.015,-0.443
12:12:01.100 07/10/1995,-0.025,-0.443
12:12:01.102 07/10/1995,-0.036,-0.443
12:12:01.104 07/10/1995,-0.043,-0.450
12:12:01.106 07/10/1995,-0.050,-0.450
12:12:01.108 07/10/1995,-0.053,-0.450
12:12:01.110 07/10/1995,-0.057,-0.450
12:12:01.112 07/10/1995,-0.059,-0.457
12:12:01.114 07/10/1995,-0.060,-0.457
12:12:01.116 07/10/1995,-0.060,-0.457
12:12:01.118 07/10/1995,-0.060,-0.457
12:12:01.120 07/10/1995,-0.060,-0.457
12:12:01.122 07/10/1995,-0.060,-0.457
12:12:01.124 07/10/1995,-0.062,-0.457
12:12:01.126 07/10/1995,-0.063,-0.457
12:12:01.128 07/10/1995,-0.063,-0.467
12:12:01.130 07/10/1995,-0.064,-0.467
12:12:01.132 07/10/1995,-0.064,-0.467
12:12:01.134 07/10/1995,-0.064,-0.467
12:12:01.136 07/10/1995,-0.064,-0.471
12:12:01.138 07/10/1995,-0.064,-0.471
12:12:01.140 07/10/1995,-0.064,-0.471
12:12:01.142 07/10/1995,-0.064,-0.471
12:12:01.144 07/10/1995,-0.064,-0.480
12:12:01.146 07/10/1995,-0.064,-0.480
12:12:01.148 07/10/1995,-0.064,-0.480
